Idx    | Gold_Re      | Gold_Im      | Core_Re      | Core_Im      | Diff         | Err(%)     | Note
1744   | 8.41940      | 5.03542      | 8.24764      | 4.46951      | 0.59140      | 6.03       | 
1745   | -9.91170     | -0.80085     | -10.05657    | -1.42463     | 0.64038      | 6.44       | 
1746   | -9.17714     | 3.25210      | -9.34165     | 2.68428      | 0.59117      | 6.07       | 
1747   | -0.98154     | 3.99420      | -1.11945     | 3.50407      | 0.50916      | 12.38      | HIGH_ERR
1748   | 4.09049      | 5.93521      | 3.93297      | 5.36518      | 0.59139      | 8.20       | 
1749   | 7.13276      | -1.26370     | 7.20749      | -1.71782     | 0.46023      | 6.35       | 
1750   | 5.80485      | -3.07773     | 5.65395      | -3.64956     | 0.59140      | 9.00       | 
1751   | -5.08139     | -1.63355     | -5.23217     | -1.62604     | 0.15097      | 2.83       | 
1752   | -2.21101     | 7.37858      | -2.35490     | 6.80486      | 0.59148      | 7.68       | 
1753   | 0.01386      | 3.20999      | -0.10570     | 2.59702      | 0.62452      | 19.46      | HIGH_ERR
1754   | -3.51413     | 0.01548      | -3.65055     | -0.55973     | 0.59116      | 16.82      | HIGH_ERR
1755   | -2.65912     | 7.79285      | -2.76841     | 7.22380      | 0.57945      | 7.04       | 
1756   | -2.13785     | 6.12807      | -2.26714     | 5.55092      | 0.59146      | 9.11       | 
1757   | -0.43878     | -1.83712     | -0.68300     | -2.49026     | 0.69730      | 36.92      | HIGH_ERR
1758   | 0.08263      | 3.11568      | -0.03960     | 2.53733      | 0.59113      | 18.97      | HIGH_ERR
1759   | 3.17473      | -3.89734     | 2.82320      | -4.62230     | 0.80569      | 16.03      | HIGH_ERR
1760   | 4.68578      | -2.10815     | 4.57042      | -2.68815     | 0.59136      | 11.51      | HIGH_ERR
1761   | 6.67656      | 1.83231      | 6.56471      | 1.25165      | 0.59134      | 8.54       | 
1762   | 0.48293      | 2.13908      | 0.37489      | 1.55776      | 0.59127      | 26.96      | HIGH_ERR
1763   | 11.10945     | -1.93819     | 11.01322     | -2.51670     | 0.58646      | 5.20       | 
1764   | 5.18292      | 0.05293      | 5.08071      | -0.52895     | 0.59078      | 11.40      | HIGH_ERR
1765   | 4.30115      | -2.13938     | 4.70941      | -2.98420     | 0.93830      | 19.53      | HIGH_ERR
1766   | -2.12184     | 2.28275      | -2.21561     | 1.69914      | 0.59109      | 18.97      | HIGH_ERR
1767   | 3.05876      | 7.19615      | 3.29536      | 6.73776      | 0.51585      | 6.60       | 
1768   | 1.85535      | -4.64018     | 1.76853      | -5.22507     | 0.59130      | 11.83      | HIGH_ERR
